epoch,accuracy,loss,val_accuracy,val_loss
0,0.41973376,1.3302365639009976,0.38125,2.2774584531784057
1,0.63038373,0.758395029635941,0.3875,7597.1005859375
2,0.82223964,0.5700106741678183,0.3875,503.8341796875
3,0.8872357,0.35193121822998685,0.3875,1905.3953857421875
4,0.935787,0.20266268729650144,0.39375,20.70427074432373
5,0.9843383,0.05141930192994857,0.69375,4.891793727874756
6,0.9929522,0.031558925946685794,0.875,0.8729052633047104
7,0.9960846,0.010916855749156336,0.93125,0.46170073598623274
8,0.9960846,0.010049535460243572,0.93125,0.2515872107702307
9,1.0,0.002784160285567852,0.9625,0.2162587642946164
10,0.99765074,0.008064686282513354,0.95625,0.16558168396586553
11,1.0,0.0011402607137685934,0.95625,0.23917008254429675
12,0.9984338,0.003252946734949688,0.95625,0.1921220159456425
13,0.9984338,0.00788451623094092,0.98125,0.19397180620580912
14,1.0,0.0005351911128061731,0.975,0.20619285784559907
15,1.0,8.445432593557203e-05,0.975,0.2125781422975706
16,0.99765074,0.015008943660729974,0.98125,0.21023069317598128
